Sample,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__;g__,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__CAG-41,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E
H001,0.1227500965623793,0.2273850907686365,0.0932020084974893,0.0,0.0013132483584395,0.0016994978756276,0.0138663576670529,0.0,0.019737350328312,0.0,0.0008497489378138,0.0024719969100038,0.0190421011973735,0.0251834685206643,0.0,0.0,0.0231363460795674,0.0,0.0,0.0898416376979528,0.0,0.0023174971031286,0.0,0.0022788721514098,0.0,0.0,0.0,0.0,0.0,0.0033989957512553,0.0,0.0,0.0488991888760139,0.0029741212823483,0.0458478176902278,0.0820393974507531,0.0011973735032831,0.00162224797219,0.0,0.0115874855156431,0.0,0.0013132483584395,0.0159907300115874,0.0028196214754731,0.0064503669370413,0.0,0.0,0.0088451139436075,0.0,0.0003862495171881,0.0,0.0001158748551564,0.0,0.0007724990343762
H002,0.0042744491119463,0.1326798830667944,0.2921856191809762,0.0140270715110423,0.0034637777286461,0.0080575822340138,0.0321074999385855,0.0007861055838062,0.0227233645318986,0.0,0.0,0.0011791583757093,0.003979659518019,0.0220355221460682,0.0113002677672144,0.0140762031100302,0.0042990149114402,0.0079101874370501,0.0032426855332006,0.035399317070774,0.0028005011423096,0.0037831331220674,0.0078610558380622,0.0044464097084039,0.0036603041245977,0.003512909327634,0.0235094701157049,0.0154273220821971,0.0306581177684427,0.0189647972093251,0.0,0.0463310978455793,0.0007124081853243,0.0,0.0065345026653892,0.0040287911170069,0.0011054609772275,0.0007369739848183,0.0064608052669074,0.0064608052669074,0.0045446729063797,0.0009826319797577,0.0014985137691306,0.0,0.001326553172673,0.0821234677082565,0.0034146461296582,0.0,0.0032918171321885,0.0002456579949394,0.0043235807109342,0.0007124081853243,0.0085980298228805,0.0021372245559731
H003,0.0047522339561332,0.0354995938261576,0.035093419983753,0.0076766856214459,0.0019090170593013,0.0027619821283509,0.0059707554833468,0.0,0.043216896831844,0.0041429731925264,0.0,0.0010966693744922,0.0009341998375304,0.043216896831844,0.001340373679935,0.0010154346060113,0.0071080422420796,0.0023558082859463,0.0015840779853777,0.0268480909829407,0.0024776604386677,0.0030056864337936,0.0053208773354995,0.0023558082859463,0.0014622258326563,0.000446791226645,0.0059707554833468,0.0038180341186027,0.011251015434606,0.0056458164094232,0.00357432981316,0.0024370430544272,0.0012591389114541,0.0004874086108854,0.0019090170593013,0.0186027619821283,0.0015434606011372,0.0106011372867587,0.0273761169780666,0.0140942323314378,0.0142160844841592,0.0041429731925264,0.0,0.0,0.0079203899268887,0.0748984565393988,0.0101543460601137,0.0285134037367993,0.0,0.0007311129163281,0.0006498781478472,0.0,0.0,0.0002030869212022
H004,0.0028236420196219,0.2300071787508973,0.2514955731036133,0.0150275185451064,0.0056472840392438,0.0,0.0085187843981813,0.0,0.0371859296482412,0.0,0.0,0.0,0.0035893754486719,0.0259870782483847,0.0,0.0944245034697296,0.0065087341469251,0.0,0.0040679588418281,0.0224455611390284,0.0032065087341469,0.0,0.0040201005025125,0.0035893754486719,0.0,0.0,0.0075137592725532,0.0,0.0,0.00382866714525,0.0,0.0,0.0008614501076812,0.0077051926298157,0.0067480258435032,0.0073701842546063,0.0005743000717875,0.0030629337162,0.0052644173247188,0.0212491026561378,0.0,0.0,0.0074659009332376,0.0,0.0021057669298875,0.049102656137832,0.0379038047379755,0.0096195262024407,0.0,0.0006221584111031,0.0,0.0010528834649437,0.0,0.00229720028715
H005,0.0016951320923687,0.3306786925094352,0.1429987846222734,0.0,0.0,0.0,0.0590737542378302,0.0,0.0822298982920744,0.003965969423655,0.0001919017463058,0.0001599181219215,0.004573658286957,0.0236678820443932,0.0178148787820635,0.0007036397364549,0.0078040043497729,0.0159918121921576,0.0109383995394358,0.0504381756540651,0.0014392630972941,0.0,0.0028145589458197,0.0025267063263609,0.0003198362438431,0.0018230665899059,0.0049254781551845,0.0,0.0,0.0044777074138041,0.0047655600332629,0.0143926309729418,0.002846542570204,0.0013113285997569,0.0003518198682274,0.002334804580055,0.0005757052389176,0.0133051877438751,0.0,0.0050214290283374,0.0171112390456086,0.0061088722574042,0.0014712467216785,0.0014712467216785,0.0012153777266039,0.0401394486023156,0.0045096910381884,0.0090193820763768,0.0008315742339921,0.0013113285997569,0.0005437216145333,0.0011514104778353,0.0,0.0046056419113413
H006,0.0027348622972843,0.0976393820170808,0.2222435466845792,0.0,0.0,0.0123308703579311,0.0257652816428365,0.0,0.0372325112753094,0.0238940600710104,0.0,0.0034545629018328,0.0,0.0018712215718261,0.0053257844736589,0.0038863832645619,0.010891469148834,0.0178965550331062,0.003502542942136,0.0160253334612801,0.0,0.001247481047884,0.0,0.0010555608866711,0.0038863832645619,0.0,0.0156894731791574,0.008636407254582,0.025861241723443,0.0030227425391037,0.0055177046348718,0.0,0.0010075808463679,0.0041262834660781,0.0,0.0030707225794069,0.0011995010075808,0.0225026389022166,0.0136263314461184,0.0072929661260915,0.0098838883024661,0.0011515209672776,0.0029747624988004,0.0009596008060646,0.0015353612897034,0.0553689665099318,0.0176086747912868,0.0025909221763746,0.020535457249784,0.0007676806448517,0.0001919201612129,0.0,0.0092601477785241,0.0009116207657614
H007,0.0006725797637563,0.0392618437092774,0.1525915339022237,0.0,0.0,0.0,0.0,0.0,0.0153432258606919,0.0,0.0051284206986422,0.0021018117617386,0.0019757030560343,0.0107192399848669,0.0,0.0492664676951532,0.0111396023372146,0.006263399049981,0.0026062465845558,0.0312329227794358,0.0019336668207995,0.0060532178738072,0.0022279204674429,0.0031527176426079,0.0,0.003320862583547,0.0139560300979444,0.0045819496405901,0.0219849510277859,0.0151750809197528,0.0044978771701206,0.001092942116104,0.0,0.0011770145865736,0.0006725797637563,0.0,0.0007146159989911,0.0069780150489722,0.0245911976123418,0.0034469712892513,0.007566522342259,0.0027743915254949,0.0009247971751649,0.0013031232922779,0.0027323552902602,0.0944974568077682,0.0200092479717516,0.0002522174114086,0.0,0.0004623985875824,0.0005885072932868,0.0004203623523477,0.0,0.0023119929379124
H008,0.0016151827175449,0.2426004441752473,0.3618009287300626,0.0,0.0075913587724611,0.0,0.02463153644256,0.0,0.0065818695739955,0.0,0.004603270745003,0.0,0.0,0.0069049061175045,0.0388047647890167,0.0626287098728043,0.0026246719160104,0.0018574601251766,0.000524934383202,0.0121946295174641,0.0026246719160104,0.0,0.0011306279022814,0.0,0.0,0.000847970926711,0.0065011104381183,0.0044821320411871,0.020674338784575,0.0010902483343428,0.0012517666060973,0.0,0.0,0.000524934383202,0.0,0.0075105996365838,0.0008075913587724,0.0,0.0003634161114476,0.0029073288915808,0.0,0.0,0.0026650514839491,0.0,0.0,0.0817686250757116,0.0302442963860286,0.0,0.00117100747022,0.0,0.000524934383202,0.0,0.0,0.0001615182717544
H009,0.0,0.2003835091083412,0.387309957540063,0.0,0.0,0.0,0.0,0.0,0.0161621695658129,0.0,0.0003424188467333,0.0,0.0008560471168333,0.0568072866730584,0.0019860293110532,0.021743596767566,0.0009587727708533,0.0085262292836597,0.0,0.0162306533351595,0.0044856868922065,0.0059580879331598,0.0020202711957266,0.0053417340090398,0.0,0.0022257225037666,0.0216066292288727,0.0034926722366799,0.0086289549376797,0.0060950554718531,0.0068826188193398,0.0108889193261197,0.0002396931927133,0.0,0.0,0.0323585810162991,0.0012669497329132,0.0004451445007533,0.0004451445007533,0.0015408848102999,0.0035611560060265,0.0,0.0005821120394466,0.0,0.0,0.061087522257225,0.0117792083276263,0.0,0.0,0.0,0.0009587727708533,0.0,0.0,0.0
H010,0.0,0.2707671736586996,0.2263413003509945,0.0262075881664716,0.003376232659201,0.0076884506100618,0.029884673240849,0.0002674243690456,0.0428881831856928,0.0419187698479023,0.0002674243690456,0.0,0.0013036937990974,0.021093097108474,0.0,0.0,0.0177168644492729,0.0053819154270432,0.0021059669062343,0.0633461474176834,0.0,0.0,0.0,0.0186194216948019,0.0017716864449272,0.0,0.0055490556576968,0.0,0.0058499080728731,0.0087581480862443,0.0148420524820324,0.0188868460638475,0.0119338124686612,0.0216279458465652,0.0,0.0,0.0,0.0008691291993982,0.0,0.0080895871636302,0.0,0.0,0.0058833361190038,0.0008357011532675,0.0,0.0508106301186695,0.0,0.0001671402306535,0.0,0.0,0.0013036937990974,0.001236837706836,0.0,0.0025739595520641
